,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueprint Name,Best Price,Outer Ring,The Forge,The Citadel,Black Rise,Molden Heath,Heimatar,Metropolis,Tash-Murkon,Devoid,The Bleak Lands,Domain,Kador,Aridia,Kor-Azor,Genesis,Sinq Laison,Everyshore,Solitude,Placid,Essence,Verge Vendor,Derelik,Khanid,Syndicate,Venal,Curse,Lonetrek,Great Wildlands,Stain
Standup M-Set Missile Projection I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Energy Neutralizer Projection I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Energy Neutralizer Economy I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Electronic Warfare Projection I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Electronic Warfare Economy I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Structure Target Multiplexing I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Scan Resolution I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set HS Materials Reclamation I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set I1 Materials Reclamation I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set I2 Materials Reclamation I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set LNS Materials Reclamation I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Equipment Manufacturing Material Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Equipment Manufacturing Time Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Ammunition Manufacturing Material Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Ammunition Manufacturing Time Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Drone and Fighter Manufacturing Material Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Drone and Fighter Manufacturing Time Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Basic Small Ship Manufacturing Material Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Basic Small Ship Manufacturing Time Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Basic Medium Ship Manufacturing Material Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Basic Medium Ship Manufacturing Time Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Basic Large Ship Manufacturing Material Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Basic Large Ship Manufacturing Time Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Advanced Small Ship Manufacturing Material Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Advanced Small Ship Manufacturing Time Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Advanced Medium Ship Manufacturing Material Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Advanced Medium Ship Manufacturing Time Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Advanced Large Ship Manufacturing Material Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Advanced Large Ship Manufacturing Time Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Advanced Component Manufacturing Material Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Advanced Component Manufacturing Time Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Basic Capital Component Manufacturing Material Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Basic Capital Component Manufacturing Time Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Structure Manufacturing Material Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Structure Manufacturing Time Efficiency I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Invention Cost Optimization I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Invention Accelerator I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set ME Research Cost Optimization I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set ME Research Accelerator I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set TE Research Cost Optimization I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set TE Research Accelerator I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Blueprint Copy Cost Optimization I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Standup M-Set Blueprint Copy Accelerator I Blueprint,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00",,,"100,000,000.00",,,"100,000,000.00",,
Modulated Compact Dual Giga Beam Laser Blueprint,"96,800,000.00",,,,,,,,,,,"96,800,000.00",,,,,,,,,,,,,,,,,,
Modal Enduring Dual Giga Beam Laser Blueprint,"96,800,000.00",,,,,,,,,,,,"96,800,000.00",,,,,,,,,,,,,,,,,
Anode Scoped Dual Giga Beam Laser Blueprint,"96,800,000.00",,,,,,,,,,,"96,800,000.00",,,,,,,,,,,,,,,,,,
Afocal Precise Dual Giga Beam Laser Blueprint,"96,800,000.00",,,,,,,,,,,,,,"96,800,000.00",,,,,,,,,,,,,,,
Capital I-a Enduring Armor Repairer Blueprint,"94,000,000.00",,,,,,,,,,,,"94,000,000.00",,,,,,,,,,,,,,,,,
Capital ACM Compact Armor Repairer Blueprint,"94,000,000.00",,,,,,"94,000,000.00","94,000,000.00","94,000,000.00",,,,"94,000,000.00","94,000,000.00","94,000,000.00","94,000,000.00","94,000,000.00",,,"94,000,000.00",,"94,000,000.00",,,,,,"94,000,000.00",,
Carbide Compact Dual 1000mm Railgun Blueprint,"92,050,000.00","92,050,000.00","92,050,000.00",,,,"92,050,000.00","92,050,000.00","92,050,000.00","92,050,000.00","92,050,000.00","92,050,000.00",,,,,"92,050,000.00",,,,"92,050,000.00","92,050,000.00",,,,,,"92,050,000.00",,
Compressed Enduring Dual 1000mm Railgun Blueprint,"92,050,000.00",,,,,,,,,,,,,,,,"92,050,000.00","92,050,000.00","92,050,000.00",,,"92,050,000.00",,,,,,,,
Scout Scoped Dual 1000mm Railgun Blueprint,"92,050,000.00",,,"92,050,000.00",,,"92,050,000.00","92,050,000.00","92,050,000.00",,,"92,050,000.00",,"92,050,000.00","92,050,000.00",,"92,050,000.00","92,050,000.00","92,050,000.00",,,,,,"92,050,000.00",,,,,
Prototype Precise Dual 1000mm Railgun Blueprint,"92,050,000.00",,,,,,"92,050,000.00","92,050,000.00","92,050,000.00",,,,"92,050,000.00","92,050,000.00","92,050,000.00","92,050,000.00","92,050,000.00",,,"92,050,000.00",,"92,050,000.00",,,,,,"92,050,000.00",,
Inferno XL Torpedo Blueprint,"90,000,000.00",,"90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00",,,"90,000,000.00",,,"90,000,000.00",,
Inferno XL Cruise Missile Blueprint,"90,000,000.00",,"90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00",,,"90,000,000.00",,,"90,000,000.00",,
Modulated Compact Quad Mega Pulse Laser Blueprint,"90,000,000.00",,,,,,,,,,,"90,000,000.00",,,,,,,,,,,,,,,,,,
Modal Enduring Quad Mega Pulse Laser Blueprint,"90,000,000.00",,,,,,,,,,,,"90,000,000.00",,,,,,,,,,,,,,,,,
Anode Scoped Quad Mega Pulse Laser Blueprint,"90,000,000.00",,,,,,,,,,,"90,000,000.00",,,,,,,,,,,,,,,,,,
Afocal Precise Quad Mega Pulse Laser Blueprint,"90,000,000.00",,,,,,,,,,,,,,"90,000,000.00",,,,,,,,,,,,,,,
Modulated Compact Dual Giga Pulse Laser Blueprint,"86,000,000.00",,,,,,,,,,,"86,000,000.00",,,,,,,,,,,,,,,,,,
Modal Enduring Dual Giga Pulse Laser Blueprint,"86,000,000.00",,,,,,,,,,,,"86,000,000.00",,,,,,,,,,,,,,,,,
Anode Scoped Dual Giga Pulse Laser Blueprint,"86,000,000.00",,,,,,,,,,,"86,000,000.00",,,,,,,,,,,,,,,,,,
Afocal Precise Dual Giga Pulse Laser Blueprint,"86,000,000.00",,,,,,,,,,,,,,"86,000,000.00",,,,,,,,,,,,,,,
Maller Blueprint,"83,750,000.00",,,,,,,,"83,750,000.00",,"83,750,000.00","83,750,000.00","83,750,000.00","83,750,000.00","83,750,000.00","83,750,000.00",,,,,,,,,,,,,,
Moa Blueprint,"83,500,000.00",,"83,500,000.00","83,500,000.00","83,500,000.00",,,,,,,,,,,,,,,,,,,,,,,"83,500,000.00",,
Vexor Blueprint,"83,250,000.00",,,,,,,,,,,,,,,,"83,250,000.00",,"83,250,000.00","83,250,000.00","83,250,000.00","83,250,000.00",,,,,,,,
Rupture Blueprint,"83,000,000.00",,,,,"83,000,000.00","83,000,000.00","83,000,000.00",,,,,,,,,,,,,,,,,,,,,,
Omen Blueprint,"82,750,000.00",,,,,,,,"82,750,000.00",,"82,750,000.00","82,750,000.00","82,750,000.00","82,750,000.00","82,750,000.00","82,750,000.00",,,,,,,,,,,,,,
Caracal Blueprint,"82,500,000.00",,"82,500,000.00","82,500,000.00","82,500,000.00",,,,,,,,,,,,,,,,,,,,,,,"82,500,000.00",,
Thorax Blueprint,"82,250,000.00",,,,,,,,,,,,,,,,"82,250,000.00",,"82,250,000.00","82,250,000.00","82,250,000.00","82,250,000.00",,,,,,,,
Stabber Blueprint,"82,000,000.00",,,,,"82,000,000.00","82,000,000.00","82,000,000.00","82,000,000.00",,"82,000,000.00","82,000,000.00","82,000,000.00","82,000,000.00","82,000,000.00","82,000,000.00",,,,,,,,,,,,,,
Arbitrator Blueprint,"81,750,000.00",,,,,,,,"81,750,000.00",,"81,750,000.00","81,750,000.00","81,750,000.00","81,750,000.00","81,750,000.00","81,750,000.00",,,,,,,,,,,,,,
Blackbird Blueprint,"81,500,000.00",,"81,500,000.00","81,500,000.00","81,500,000.00",,,,,,,,,,,,,,,,,,,,,,,"81,500,000.00",,
Celestis Blueprint,"81,250,000.00",,,,,,,,,,,,,,,,"81,250,000.00",,"81,250,000.00","81,250,000.00","81,250,000.00","81,250,000.00",,,,,,,,
Bellicose Blueprint,"81,000,000.00",,,,,"81,000,000.00","81,000,000.00","81,000,000.00",,,,,,,,,,,,,,,,,,,,,,
Augoror Blueprint,"80,750,000.00",,,,,,,,"80,750,000.00",,"80,750,000.00","80,750,000.00","80,750,000.00","80,750,000.00","80,750,000.00","80,750,000.00",,,,,,,,,,,,,,
Osprey Blueprint,"80,500,000.00",,"80,500,000.00","80,500,000.00","80,500,000.00",,,,,,,,,,,,,,,,,,,,,,,"80,500,000.00",,
Exequror Blueprint,"80,250,000.00",,,,,,,,,,,,,,,,"80,250,000.00",,"80,250,000.00","80,250,000.00","80,250,000.00","80,250,000.00",,,,,,,,
Scythe Blueprint,"80,000,000.00",,,,,"80,000,000.00","80,000,000.00","80,000,000.00",,,,,,,,,,,,,,,,,,,,,,
Scourge XL Torpedo Blueprint,"80,000,000.00",,"80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00",,,"80,000,000.00",,,"80,000,000.00",,
Scourge XL Cruise Missile Blueprint,"80,000,000.00",,"80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00",,,"80,000,000.00",,,"80,000,000.00",,
50000MN Microwarpdrive I Blueprint,"79,000,000.00",,"79,000,000.00","79,000,000.00",,,"79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00",,"79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00","79,000,000.00",,,"79,000,000.00",,,"79,000,000.00",,
Regulated Compact Triple Neutron Blaster Cannon Blueprint,"76,800,000.00","76,800,000.00","76,800,000.00",,,,"76,800,000.00","76,800,000.00","76,800,000.00","76,800,000.00","76,800,000.00","76,800,000.00",,,,,"76,800,000.00",,,,"76,800,000.00","76,800,000.00",,,,,,"76,800,000.00",,
Modal Enduring Triple Neutron Blaster Cannon Blueprint,"76,800,000.00",,,,,,,,,,,,,,,,"76,800,000.00","76,800,000.00","76,800,000.00",,,"76,800,000.00",,,,,,,,
